timestamp,name,alias,group,activity,raw_mileage,share_img,actual_mileage
2020-10-20 00:12:30,Johnny Lee,J. Lee,AFE,Walk,4,,4.0
2020-10-20 00:14:41,Patricia Roberts,P. Roberts,ATC,Swim,8,,48.0
2020-10-20 00:44:20,Jennifer Robbins,J. Robbins,AOSX/AOS,Cycle,5,,1.25
2020-10-20 01:16:27,David Johnson,D. Johnson,AFE,Cycle,3,,0.75
2020-10-20 01:30:09,Paul Hoover,P. Hoover,AFE,Cycle,9,,2.25
2020-10-20 03:48:42,Tanya Lamb,T. Lamb,AFE,Walk,1,,1.0
2020-10-20 04:23:09,Danielle Vaughn,D. Vaughn,ADSS/ADWS/ADWO,Swim,7,,42.0
2020-10-20 09:59:42,Angel Benson,A. Benson,ADSS/ADWS/ADWO,Run,5,,5.0
2020-10-20 10:21:19,Sydney Parsons,S. Parsons,ADW,Walk,10,,10.0
2020-10-20 10:37:06,Stephanie Walker,S. Walker,AFE,Cycle,5,,1.25
2020-10-20 10:54:53,Heidi Caldwell,H. Caldwell,ABM,Swim,7,,42.0
2020-10-20 10:58:28,Hannah Pitts,H. Pitts,AFE,Cycle,8,,2.0
2020-10-20 10:59:35,Mary Jackson,M. Jackson,ATC,Walk,5,,5.0
2020-10-20 11:07:34,Sydney Parsons,S. Parsons,ADW,Walk,4,,4.0
2020-10-20 12:13:33,Patricia Roberts,P. Roberts,ATC,Run,3,,3.0
2020-10-20 12:31:03,Jeffrey Fisher,J. Fisher,ABM,Walk,8,,8.0
2020-10-20 14:03:23,Jessica Carter,J. Carter,ADSS/ADWS/ADWO,Swim,9,,54.0
2020-10-20 14:56:08,Todd Cross,T. Cross,ABM,Run,10,,10.0
2020-10-20 15:11:11,Rick Johnson,R. Johnson,ATC,Walk,6,,6.0
2020-10-20 15:35:51,Kimberly Thomas,K. Thomas,AFE,Cycle,10,,2.5
2020-10-20 16:00:44,Arthur Kelly,A. Kelly,ATC,Swim,3,,18.0
2020-10-20 21:20:23,Shelby Robertson,S. Robertson,ABM,Walk,1,,1.0
2020-10-20 22:10:08,Zachary Thomas,Z. Thomas,ADSS/ADWS/ADWO,Run,3,,3.0
2020-10-20 23:20:59,Jonathan Calderon,J. Calderon,AFE,Cycle,6,,1.5
2020-10-21 01:14:08,Kimberly Thomas,K. Thomas,AFE,Cycle,10,,2.5
2020-10-21 01:19:57,Steven Johnson,S. Johnson,ADW,Swim,1,,6.0
2020-10-21 02:16:50,Robert Clark,R. Clark,ABM,Run,2,,2.0
2020-10-21 02:23:59,Kyle Jones,K. Jones,AFE,Cycle,2,,0.5
2020-10-21 02:33:53,Rick Rodriguez,R. Rodriguez,ADSS/ADWS/ADWO,Run,10,,10.0
2020-10-21 03:47:44,Tammy Franco,T. Franco,AFE,Swim,10,,60.0
2020-10-21 04:27:30,Justin Richardson,J. Richardson,ADW,Run,2,,2.0
2020-10-21 05:03:41,Julie Lam,J. Lam,AOSX/AOS,Cycle,6,,1.5
2020-10-21 05:13:28,Brandon Ramos,B. Ramos,AFE,Walk,1,,1.0
2020-10-21 08:05:09,Erica Raymond,E. Raymond,ADSS/ADWS/ADWO,Cycle,4,,1.0
2020-10-21 10:20:38,Sean Mcdonald,S. Mcdonald,AFE,Run,5,,5.0
2020-10-21 11:05:45,Danielle Vaughn,D. Vaughn,ADSS/ADWS/ADWO,Walk,4,,4.0
2020-10-21 11:44:23,Vicki Flores,V. Flores,ADSS/ADWS/ADWO,Cycle,2,,0.5
2020-10-21 12:41:32,Paul Hoover,P. Hoover,AFE,Walk,5,,5.0
2020-10-21 13:07:06,Sean Mcdonald,S. Mcdonald,AFE,Walk,8,,8.0
2020-10-21 14:51:03,Lori Pham,L. Pham,AOSX/AOS,Cycle,3,,0.75
2020-10-21 15:10:47,Angel Ho,A. Ho,AFE,Cycle,5,,1.25
2020-10-21 15:11:27,Angel Ho,A. Ho,AFE,Swim,5,,30.0
2020-10-21 17:47:13,Danielle Vaughn,D. Vaughn,ADSS/ADWS/ADWO,Cycle,8,,2.0
2020-10-21 17:50:43,Amanda Taylor,A. Taylor,ADW,Run,10,,10.0
2020-10-21 18:44:56,Jade Johnson,J. Johnson,ADSS/ADWS/ADWO,Run,2,,2.0
2020-10-21 21:43:31,Catherine Smith,C. Smith,ADW,Cycle,6,,1.5
2020-10-21 22:17:23,Mark Booker,M. Booker,AOSX/AOS,Walk,5,,5.0
2020-10-21 22:40:28,Jacqueline Young,J. Young,ADSS/ADWS/ADWO,Walk,7,,7.0
2020-10-21 23:00:11,Rick Johnson,R. Johnson,ATC,Swim,2,,12.0
2020-10-21 23:39:40,Danielle Vaughn,D. Vaughn,ADSS/ADWS/ADWO,Run,5,,5.0
2020-10-22 00:18:09,Barbara Baker,B. Baker,ATC,Walk,6,,6.0
2020-10-22 00:45:25,Lisa Simpson,L. Simpson,AFE,Cycle,8,,2.0
2020-10-22 01:10:48,Anthony Warren,A. Warren,ADSS/ADWS/ADWO,Swim,3,,18.0
2020-10-22 01:16:09,Susan Hill,S. Hill,AOSX/AOS,Cycle,1,,0.25
2020-10-22 02:48:32,Misty Stout,M. Stout,ADSS/ADWS/ADWO,Walk,10,,10.0
2020-10-22 03:01:31,Sydney Parsons,S. Parsons,ADW,Swim,4,,24.0
